decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),num_vesicles
1.8000000000000003,4.75,1.6750000000000003,3.075,4.225000000000001,0.8625,0.74,26
2.2,4.2749999999999995,3.125000000000001,4.6499999999999995,2.975,0.6674999999999999,0.39999999999999997,26
1.175,2.55,0.6399999999999999,1.3,2.0250000000000004,0.09149999999999985,0.67,16
0.14,3.475000000000001,1.475,4.15,3.375,1.0425,0.4199999999999999,32
3.075,4.6,4.125000000000001,2.1499999999999995,2.475000000000001,1.4700000000000004,0.4649999999999999,38
2.825,3.0,3.2750000000000004,3.8499999999999983,3.8250000000000006,0.7949999999999999,0.28,30
3.3,0.8,2.175,0.19999999999999996,0.555,0.42749999999999994,0.30499999999999994,14
3.3500000000000005,1.8749999999999998,0.28,0.915,3.9749999999999996,0.5024999999999998,0.4149999999999999,18
1.5999999999999999,3.0500000000000003,4.6,3.6500000000000004,0.51,1.05,0.36499999999999994,6
4.75,0.57,2.2,0.57,4.949999999999999,0.26999999999999996,0.6800000000000002,22
2.975,1.25,2.85,2.825,4.75,0.6449999999999999,0.51,41
1.625,2.7000000000000006,1.45,0.7300000000000001,4.000000000000001,0.2504999999999999,0.36999999999999994,14
3.1500000000000004,0.22999999999999995,4.075,1.25,0.855,0.14399999999999993,0.11699999999999981,5
3.725,0.735,2.375,0.37499999999999994,4.05,0.3975,0.56,28
0.765,1.625,1.5999999999999999,4.35,3.6500000000000004,0.2745,0.6399999999999999,4
4.625000000000002,4.375,3.425,1.3999999999999997,0.8,0.9599999999999999,0.635,20
0.39499999999999996,2.075,4.1,1.5000000000000004,4.75,0.3825,0.955,42
1.8999999999999997,0.66,3.575000000000001,0.6449999999999999,1.725,0.5399999999999999,0.565,10
3.9000000000000004,4.475,1.5250000000000001,1.125,1.15,0.5775,0.585,16
1.275,0.78,4.6499999999999995,4.674999999999999,0.24,1.155,0.56,8
2.2250000000000005,4.525000000000002,4.3,2.5999999999999996,0.75,1.215,0.13399999999999998,7
2.1,1.3499999999999999,0.9949999999999999,4.4,1.625,1.32,0.9799999999999999,8
4.575000000000001,0.5399999999999999,0.5399999999999999,3.7500000000000004,1.025,0.8324999999999999,0.9300000000000002,28
0.5,0.4449999999999999,0.032999999999999904,1.3999999999999997,1.7500000000000004,0.3975,0.345,4
5.0,0.91,0.05999999999999992,0.0,1.125,0.11249999999999998,0.39999999999999997,0
3.6250000000000004,0.37499999999999994,0.57,0.6849999999999999,0.9200000000000002,0.0,0.28,1
0.435,0.99,0.023999999999999955,0.0,2.85,0.4725,0.5399999999999999,0
3.0,0.345,1.5999999999999999,2.675,0.485,0.765,0.205,0
0.86,0.565,0.83,1.2,0.865,0.44999999999999996,0.1479999999999999,1
1.225,0.45499999999999996,0.195,0.8749999999999999,1.55,1.1625,0.36999999999999994,2
1.05,0.24499999999999997,0.4199999999999999,1.65,0.8400000000000001,0.7725,0.285,0
0.6900000000000001,0.171,0.6,0.0,1.7500000000000004,1.5000000000000004,0.38499999999999995,0
1.625,0.0,2.525,0.12499999999999994,0.61,0.9375,0.26999999999999996,0
0.022999999999999972,0.8850000000000001,0.0,0.0,4.225000000000001,1.0875,0.57,0
1.5250000000000001,0.965,0.0,0.0,1.7500000000000004,0.6299999999999999,0.4449999999999999,0
1.225,1.1,0.6900000000000001,0.021999999999999905,1.55,0.66,0.22,0
3.725,0.475,1.05,0.99,1.025,0.9074999999999999,0.196,1
0.745,0.51,0.09299999999999999,0.0,2.8,0.8775,0.22,0
3.7750000000000004,0.56,0.198,0.0,0.9,0.825,0.07399999999999995,0
0.605,0.3149999999999999,0.0,0.008999999999999996,3.7500000000000004,0.27899999999999997,0.39499999999999996,0
1.05,1.25,0.38499999999999995,0.0,1.6750000000000003,0.0855,0.3149999999999999,0
