Chmical_Name,SMILES,Source
Poly(vinyl alcohol),"1S/C2H4O/c1-2-3/h2-3H,1H2",
Poly(vinylpyrrolidone),C=CN1CCCC1=O,
Poly(vinylsulfonic acid),[Na]OS(=O)(=O)C=C,
Polyoxyethylene (9) nonylphenylether,,
Polyoxyethylene (20) sorbitan monolaurate,O1C(C(C(C1)OCCO)OCCO)C(OCCO)COCCOC(=O)CCCCCCCCCCC,
Polyoxyethylene (23) lauryl ether,O(CCO)CCCCCCCCCCCC,
"Potassium phosphate, Dibasic",[K+].[K+].OP([O-])([O-])=O,
Pullulans,,
Sodium Cholate,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],
Sodium Citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],
Sodium Deoxycholate,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+],
Sodium Dodecyl Sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],
Sodium Phosphate,[Na+].[Na+].[H]OP([O-])([O-])=O,
Tragacanth,,
Xanthan Gum,,
