decanoic acid_SMILES,decanoic acid_Concentration,decanoate_SMILES,decanoate_Concentration,decylamine_SMILES,decylamine_Concentration,decyl trimethylamine_SMILES,decyl trimethylamine_Concentration,decylsulfate_SMILES,decylsulfate_Concentration,decanol_SMILES,decanol_Concentration,monocaprin_SMILES,monocaprin_Concentration,num_vesicles
CCCCCCCCCC(=O)O,1.0296194171811583,CCCCCCCCCC(=O)[O-],1.749199854809259,CCCCCCCCCCN,0.9839493803479701,CCCCCCCCCC[N+](C)(C)C.[Br-],1.404870746692826,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.653454797850875,CCCCCCCCCCO,0.6219196712715775,CCCCCCCCCC(=O)OCC(CO)O,0.5538851132264376,26
CCCCCCCCCC(=O)O,1.1631508098056809,CCCCCCCCCC(=O)[O-],1.6629786793621302,CCCCCCCCCCN,1.4170660197866445,CCCCCCCCCC[N+](C)(C)C.[Br-],1.7316555451583495,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.3800247481062953,CCCCCCCCCCO,0.5113254988076417,CCCCCCCCCC(=O)OCC(CO)O,0.3364722366212129,26
CCCCCCCCCC(=O)O,0.7770286645406475,CCCCCCCCCC(=O)[O-],1.2669476034873244,CCCCCCCCCCN,0.494696241836107,CCCCCCCCCC[N+](C)(C)C.[Br-],0.832909122935104,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.1069110914828049,CCCCCCCCCCO,0.08755289700786135,CCCCCCCCCC(=O)OCC(CO)O,0.5128236264286637,16
CCCCCCCCCC(=O)O,0.1310282624064041,CCCCCCCCCC(=O)[O-],1.498506351726819,CCCCCCCCCCN,0.9062403960206536,CCCCCCCCCC[N+](C)(C)C.[Br-],1.6389967146756448,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.4759065198095778,CCCCCCCCCCO,0.7141745477520209,CCCCCCCCCC(=O)OCC(CO)O,0.3506568716131693,32
CCCCCCCCCC(=O)O,1.404870746692826,CCCCCCCCCC(=O)[O-],1.7227665977411035,CCCCCCCCCCN,1.634130525024472,CCCCCCCCCC[N+](C)(C)C.[Br-],1.1474024528375415,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.2455944790167557,CCCCCCCCCCO,0.904218150639886,CCCCCCCCCC(=O)OCC(CO)O,0.3818552424690306,38
CCCCCCCCCC(=O)O,1.3415584672784993,CCCCCCCCCC(=O)[O-],1.3862943611198906,CCCCCCCCCCN,1.4527841023887236,CCCCCCCCCC[N+](C)(C)C.[Br-],1.5789787049493915,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.5738107347909494,CCCCCCCCCCO,0.5850050219402422,CCCCCCCCCC(=O)OCC(CO)O,0.2468600779315258,30
CCCCCCCCCC(=O)O,1.4586150226995167,CCCCCCCCCC(=O)[O-],0.5877866649021191,CCCCCCCCCCN,1.155307632344655,CCCCCCCCCC[N+](C)(C)C.[Br-],0.18232155679395454,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4414755456311975,CCCCCCCCCCO,0.3559246625480281,CCCCCCCCCC(=O)OCC(CO)O,0.2662030407746566,14
CCCCCCCCCC(=O)O,1.4701758451005928,CCCCCCCCCC(=O)[O-],1.0560526742493137,CCCCCCCCCCN,0.2468600779315258,CCCCCCCCCC[N+](C)(C)C.[Br-],0.6497176226326093,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.604425370610556,CCCCCCCCCCO,0.40713038742722546,CCCCCCCCCC(=O)OCC(CO)O,0.3471295310952009,18
CCCCCCCCCC(=O)O,0.9555114450274363,CCCCCCCCCC(=O)[O-],1.3987168811184478,CCCCCCCCCCN,1.7227665977411035,CCCCCCCCCC[N+](C)(C)C.[Br-],1.536867219599265,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.412109650826833,CCCCCCCCCCO,0.7178397931503169,CCCCCCCCCC(=O)OCC(CO)O,0.31115442863692294,6
CCCCCCCCCC(=O)O,1.749199854809259,CCCCCCCCCC(=O)[O-],0.4510756193602167,CCCCCCCCCCN,1.1631508098056809,CCCCCCCCCC[N+](C)(C)C.[Br-],0.4510756193602167,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.7833912195575383,CCCCCCCCCCO,0.23901690047049984,CCCCCCCCCC(=O)OCC(CO)O,0.5187937934151676,22
CCCCCCCCCC(=O)O,1.3800247481062953,CCCCCCCCCC(=O)[O-],0.8109302162163288,CCCCCCCCCCN,1.3480731482996928,CCCCCCCCCC[N+](C)(C)C.[Br-],1.3415584672784993,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.749199854809259,CCCCCCCCCCO,0.49774038421733513,CCCCCCCCCC(=O)OCC(CO)O,0.412109650826833,41
CCCCCCCCCC(=O)O,0.965080896043587,CCCCCCCCCC(=O)[O-],1.308332819650179,CCCCCCCCCCN,0.8960880245566356,CCCCCCCCCC[N+](C)(C)C.[Br-],0.5481214085096876,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.6094379124341005,CCCCCCCCCCO,0.2235434713355366,CCCCCCCCCC(=O)OCC(CO)O,0.31481073984003344,14
CCCCCCCCCC(=O)O,1.423108334242607,CCCCCCCCCC(=O)[O-],0.20701416938432604,CCCCCCCCCCN,1.6243265249278511,CCCCCCCCCC[N+](C)(C)C.[Br-],0.8109302162163288,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6178846960593984,CCCCCCCCCCO,0.13453089295760606,CCCCCCCCCC(=O)OCC(CO)O,0.11064652008706348,5
CCCCCCCCCC(=O)O,1.552867560945706,CCCCCCCCCC(=O)[O-],0.5510074133988225,CCCCCCCCCCN,1.2163953243244932,CCCCCCCCCC[N+](C)(C)C.[Br-],0.31845373111853453,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.6193882432872684,CCCCCCCCCCO,0.3346849260471172,CCCCCCCCCC(=O)OCC(CO)O,0.44468582126144574,28
