0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,miscibility
-1.9326549,-19.994295,69.79314,27.97402,-67.63729,60.08405,-20.525776,26.215206,48.99209,-59.69038,25.999374,86.7882,-0.2486279,14.989855,43.27523,54.65621,66.10727,-72.30135,35.677074,-14.600144,49.032837,-35.14083,-37.849106,49.024506,-63.753582,-47.557945,-44.10511,61.53977,30.027565,-43.274673,72.13317,-24.769516,1
12.142362,-28.903778,88.17792,40.68811,-108.404465,85.91254,-10.917018,32.340477,54.849968,-91.89136,42.93634,129.05605,-6.049447,20.74765,60.162228,72.07506,103.180275,-105.53645,41.85942,-28.46184,73.27136,-45.875885,-68.756134,57.88024,-100.06319,-75.48108,-52.277534,86.25378,63.302383,-58.296288,109.99382,-45.061523,1
-9.488627,-24.348215,67.51699,25.53277,-63.20356,53.451183,-19.396025,22.204239,50.016262,-57.850647,21.814814,86.73255,1.8961807,11.392519,42.462006,60.082428,64.31041,-66.25061,35.318356,-11.008705,49.25581,-34.92101,-35.958275,49.924896,-62.169567,-43.37759,-44.921356,61.160583,29.41415,-40.779213,70.06932,-19.992254,0
-1.8872933,-20.477432,84.27409,36.801144,-91.87195,77.23961,-26.33791,23.798069,66.06251,-84.494225,45.25669,120.20265,-10.95011,13.7942915,59.649857,69.71738,91.699326,-94.93095,32.664207,-25.224636,64.55669,-45.73791,-57.16073,60.628845,-81.752686,-75.23516,-47.874035,87.27406,49.455788,-54.94519,96.60776,-34.543953,1
-4.587314,-24.102797,66.77028,26.264658,-62.036236,54.540092,-19.541252,26.779232,44.581787,-55.26605,21.602842,81.66531,4.5658016,11.943472,42.166058,56.161682,62.132004,-65.993286,36.83378,-8.287678,49.39683,-36.730103,-35.764538,48.38383,-59.376755,-46.416176,-43.672134,58.60622,28.15213,-39.281536,66.88444,-19.0534,0
-44.71053,-122.55014,111.86319,40.25876,-183.80692,60.066006,28.575874,16.44685,55.85257,-145.03064,55.17393,240.46974,12.635246,-35.85781,154.59721,169.42252,188.4208,-122.83905,57.28696,-21.692596,149.58206,-116.102936,-142.28677,95.25947,-152.00856,-128.4495,-69.14287,174.63092,148.76775,-70.17723,196.7832,-36.11004,1
3.5723286,-114.71759,249.4151,95.910164,-237.79424,227.21013,-22.750397,112.24755,222.0534,-244.1327,132.42944,401.70062,-40.091667,23.454044,264.4745,253.58058,321.48483,-276.11337,37.775967,-81.13271,249.45145,-160.66956,-244.13817,234.70013,-298.13986,-279.16818,-201.24785,373.3968,217.3509,-199.42,320.66052,-142.43246,1
-12.417917,-44.41642,101.21347,36.613796,-97.78665,83.95258,-11.878391,27.171228,104.8603,-88.85249,33.159542,159.54538,-1.2582443,11.12788,79.39653,110.12922,121.31734,-99.96948,41.778763,-20.922686,97.464165,-52.002113,-73.95839,86.829605,-116.534836,-74.85154,-74.16593,119.73432,75.003265,-78.862656,126.97943,-34.092155,1
21.548092,-29.993351,82.01821,53.716454,-100.57312,82.98775,-2.3658142,9.130695,77.40699,-96.244865,44.50508,126.048965,6.695016,20.707436,70.08109,65.83242,101.28743,-103.3698,45.866795,-9.240412,44.65773,-47.48431,-76.970535,55.135246,-79.603775,-67.538605,-49.603436,93.92099,60.22251,-61.34776,106.3633,-28.979874,1
-9.469138,-27.871346,73.36116,33.414032,-69.761345,57.527157,-12.26499,21.796024,51.968735,-65.92823,24.937353,97.38496,8.398566,5.263502,52.344574,68.73574,72.7238,-70.94854,39.221832,-5.9425216,51.509335,-37.955383,-47.145363,52.80032,-66.91367,-49.827717,-46.78058,71.09642,39.20111,-43.74623,77.56959,-17.170027,0
