0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,vesicles_formation
1.04836,-1.4223335,1.6122552,1.4984609,-1.5984249,1.3507234,0.15092131,0.5932309,1.3554841,-1.6831934,0.17760092,2.0079734,1.3313538,0.3258228,1.6881019,1.5410355,1.6765034,-1.5821638,1.4067633,1.2325805,1.3722234,-1.4354876,-1.6531016,1.4350486,-1.1902778,-1.5271096,-1.4104142,1.7282739,1.4582468,-1.3793586,1.8051431,0.0061498266,1
0.71802706,-0.7925999,1.0447221,0.9876989,-0.9504161,0.87800384,0.0684367,0.24454156,1.0208464,-1.0253985,0.111944176,1.2301519,0.8044649,0.27076697,0.9710683,0.9626902,0.96180934,-0.98236215,0.8581952,0.7691133,0.717406,-0.77586824,-0.96240395,0.92360234,-0.7389855,-0.8182308,-0.91883504,1.0339007,0.8441592,-0.90831786,1.0903623,0.018229818,1
1.0989255,-1.3357013,1.6543154,1.5636126,-1.5346986,1.4016322,0.11342063,0.43361825,1.5657486,-1.6749169,0.17491841,2.003726,1.3113889,0.3630669,1.6211181,1.5766085,1.5842226,-1.5896914,1.3808175,1.2459229,1.1995486,-1.2881813,-1.5943156,1.4710877,-1.1857487,-1.3812364,-1.4416726,1.689062,1.4044029,-1.4110001,1.7713436,0.03909996,1
0.859688,-1.1138115,1.2986313,1.2349881,-1.2490723,1.108813,0.095674895,0.4029146,1.2005602,-1.3101274,0.12700458,1.6045604,1.0467043,0.24694519,1.3061218,1.2855483,1.2558664,-1.2446804,1.1091261,0.98801,1.0285633,-1.07133,-1.2583477,1.1803962,-0.9479514,-1.1591839,-1.1448443,1.3470619,1.1373335,-1.1032658,1.4226806,0.04978119,1
0.95440435,-1.245955,1.5902759,1.5250518,-1.483148,1.320197,0.11958833,0.42554167,1.4472508,-1.611558,0.16655542,1.9296082,1.1855506,0.29582563,1.5600309,1.4755493,1.521507,-1.5023413,1.3004628,1.1136147,1.1521935,-1.2278303,-1.5428686,1.358067,-1.1424644,-1.3479533,-1.3642037,1.6379867,1.338125,-1.3007499,1.7048416,-0.001182863,1
1.3199357,-1.405349,1.8415246,1.7145513,-1.6369686,1.5656589,0.116088,0.4037321,1.8306986,-1.8166475,0.1931137,2.1414356,1.4760354,0.49825245,1.7185293,1.6998404,1.6963618,-1.7609415,1.535617,1.4315162,1.2159767,-1.3526992,-1.7109557,1.6383791,-1.2624694,-1.4136932,-1.6080436,1.7921808,1.4986271,-1.6012802,1.900843,0.048437733,1
0.86361825,-1.0649949,1.1244965,1.0193182,-1.147808,0.98206353,0.09861227,0.45189962,0.9482963,-1.2257342,0.13525689,1.4209926,1.0425906,0.27788517,1.2506763,1.1016183,1.2503726,-1.1816115,1.037322,0.9748801,1.0055171,-1.0748212,-1.2161913,1.0617095,-0.8275202,-1.1408479,-0.9913073,1.2219785,1.0915432,-1.0220422,1.2817625,0.008024896,0
0.949088,-1.046158,1.3597119,1.2538384,-1.201447,1.1483291,0.09179475,0.3008816,1.3260151,-1.3636773,0.14741889,1.5876791,1.0986927,0.36168888,1.2858255,1.2488775,1.279205,-1.3113005,1.1333,1.0615953,0.89744,-1.0070716,-1.2920525,1.1949775,-0.93302757,-1.0425467,-1.177318,1.3399137,1.1151202,-1.1735548,1.4109292,0.030113611,1
0.5841311,-0.69099844,0.83784354,0.8084484,-0.80248547,0.73214024,0.042893533,0.21554771,0.7963319,-0.898572,0.100161225,1.0519828,0.68274796,0.17705892,0.8770346,0.8105956,0.85106295,-0.85108817,0.7016182,0.64549243,0.61108196,-0.66647184,-0.8561436,0.763116,-0.61562234,-0.755374,-0.7206824,0.8856669,0.75789076,-0.7270821,0.9154082,0.0017919932,1
0.8016063,-0.84365636,1.1391435,1.0828519,-1.0088536,0.9760071,0.054978542,0.20613092,1.15644,-1.1564492,0.13083684,1.3496681,0.8911918,0.29865384,1.0786676,1.0521603,1.0616131,-1.1078004,0.9221085,0.86127216,0.7099566,-0.80191064,-1.0771741,1.010273,-0.79789716,-0.86852586,-0.98334014,1.1290286,0.9339694,-0.9911067,1.1780587,0.015520627,1
