smi1,conc1,smi2,conc2,smi3,conc3,smi4,conc4,smi5,conc5,smi6,conc6,smi7,conc7,vesicles_formation
CCCCCCCCCC(=O)O,1.175,CCCCCCCCCC(=O)[O-],2.55,CCCCCCCCCCN,0.6399999999999999,CCCCCCCCCC[N+](C)(C)C.[Br-],1.3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.0250000000000004,CCCCCCCCCCO,0.0914999999999998,CCCCCCCCCC(=O)OCC(CO)O,0.67,16
CCCCCCCCCC(=O)O,0.14,CCCCCCCCCC(=O)[O-],3.475000000000001,CCCCCCCCCCN,1.475,CCCCCCCCCC[N+](C)(C)C.[Br-],4.15,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.375,CCCCCCCCCCO,1.0425,CCCCCCCCCC(=O)OCC(CO)O,0.4199999999999999,32
CCCCCCCCCC(=O)O,3.075,CCCCCCCCCC(=O)[O-],4.6,CCCCCCCCCCN,4.125000000000001,CCCCCCCCCC[N+](C)(C)C.[Br-],2.1499999999999995,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.475000000000001,CCCCCCCCCCO,1.4700000000000004,CCCCCCCCCC(=O)OCC(CO)O,0.4649999999999999,38
CCCCCCCCCC(=O)O,2.825,CCCCCCCCCC(=O)[O-],3.0,CCCCCCCCCCN,3.2750000000000004,CCCCCCCCCC[N+](C)(C)C.[Br-],3.8499999999999983,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.8250000000000006,CCCCCCCCCCO,0.7949999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.28,30
CCCCCCCCCC(=O)O,3.3,CCCCCCCCCC(=O)[O-],0.8,CCCCCCCCCCN,2.175,CCCCCCCCCC[N+](C)(C)C.[Br-],0.1999999999999999,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.555,CCCCCCCCCCO,0.4274999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.3049999999999999,14
CCCCCCCCCC(=O)O,3.3500000000000005,CCCCCCCCCC(=O)[O-],1.875,CCCCCCCCCCN,0.28,CCCCCCCCCC[N+](C)(C)C.[Br-],0.915,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.975,CCCCCCCCCCO,0.5024999999999998,CCCCCCCCCC(=O)OCC(CO)O,0.4149999999999999,18
CCCCCCCCCC(=O)O,1.6,CCCCCCCCCC(=O)[O-],3.0500000000000003,CCCCCCCCCCN,4.6,CCCCCCCCCC[N+](C)(C)C.[Br-],3.65,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.51,CCCCCCCCCCO,1.05,CCCCCCCCCC(=O)OCC(CO)O,0.3649999999999999,6
CCCCCCCCCC(=O)O,4.75,CCCCCCCCCC(=O)[O-],0.57,CCCCCCCCCCN,2.2,CCCCCCCCCC[N+](C)(C)C.[Br-],0.57,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.949999999999999,CCCCCCCCCCO,0.2699999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.6800000000000002,22
CCCCCCCCCC(=O)O,2.975,CCCCCCCCCC(=O)[O-],1.25,CCCCCCCCCCN,2.85,CCCCCCCCCC[N+](C)(C)C.[Br-],2.825,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.75,CCCCCCCCCCO,0.6449999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.51,41
CCCCCCCCCC(=O)O,1.625,CCCCCCCCCC(=O)[O-],2.7000000000000006,CCCCCCCCCCN,1.45,CCCCCCCCCC[N+](C)(C)C.[Br-],0.7300000000000001,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.000000000000001,CCCCCCCCCCO,0.2504999999999999,CCCCCCCCCC(=O)OCC(CO)O,0.3699999999999999,14
